,GEO,Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A),Gender (3),VALUE
91,Alberta,"11103 Securities agents, investment dealers and brokers",Men+,1165
92,Alberta,"11103 Securities agents, investment dealers and brokers",Women+,405
93,Alberta,11109 Other financial officers,Total - Gender,2425
94,Alberta,11109 Other financial officers,Men+,990
95,Alberta,11109 Other financial officers,Women+,1435
96,Alberta,112 Professional occupations in business,Total - Gender,35830
97,Alberta,112 Professional occupations in business,Men+,13590
98,Alberta,112 Professional occupations in business,Women+,22245
99,Alberta,1120 Human resources and business service professionals,Total - Gender,35830
100,Alberta,1120 Human resources and business service professionals,Men+,13590
101,Alberta,1120 Human resources and business service professionals,Women+,22245
102,Alberta,11200 Human resources professionals,Total - Gender,9915
103,Alberta,11200 Human resources professionals,Men+,2300
104,Alberta,11200 Human resources professionals,Women+,7615
105,Alberta,11201 Professional occupations in business management consulting,Total - Gender,11535
106,Alberta,11201 Professional occupations in business management consulting,Men+,6585
107,Alberta,11201 Professional occupations in business management consulting,Women+,4950
108,Alberta,"11202 Professional occupations in advertising, marketing and public relations",Total - Gender,14385
109,Alberta,"11202 Professional occupations in advertising, marketing and public relations",Men+,4705
110,Alberta,"11202 Professional occupations in advertising, marketing and public relations",Women+,9680
111,Alberta,12 Administrative and financial supervisors and specialized administrative occupations,Total - Gender,63510
112,Alberta,12 Administrative and financial supervisors and specialized administrative occupations,Men+,16450
113,Alberta,12 Administrative and financial supervisors and specialized administrative occupations,Women+,47055
114,Alberta,120 Administrative and financial supervisors,Total - Gender,9135
115,Alberta,120 Administrative and financial supervisors,Men+,4120
116,Alberta,120 Administrative and financial supervisors,Women+,5010
117,Alberta,1201 Administrative and financial supervisors,Total - Gender,9135
118,Alberta,1201 Administrative and financial supervisors,Men+,4120
119,Alberta,1201 Administrative and financial supervisors,Women+,5010
120,Alberta,"12010 Supervisors, general office and administrative support workers",Total - Gender,3100
121,Alberta,"12010 Supervisors, general office and administrative support workers",Men+,1105
122,Alberta,"12010 Supervisors, general office and administrative support workers",Women+,2000
123,Alberta,"12011 Supervisors, finance and insurance office workers",Total - Gender,2055
124,Alberta,"12011 Supervisors, finance and insurance office workers",Men+,295
125,Alberta,"12011 Supervisors, finance and insurance office workers",Women+,1760
126,Alberta,"12012 Supervisors, library, correspondence and related information workers",Total - Gender,415
127,Alberta,"12012 Supervisors, library, correspondence and related information workers",Men+,135
128,Alberta,"12012 Supervisors, library, correspondence and related information workers",Women+,280
129,Alberta,"12013 Supervisors, supply chain, tracking and scheduling coordination occupations",Total - Gender,3560
130,Alberta,"12013 Supervisors, supply chain, tracking and scheduling coordination occupations",Men+,2585
131,Alberta,"12013 Supervisors, supply chain, tracking and scheduling coordination occupations",Women+,975
132,Alberta,121 Specialized administrative occupations,Total - Gender,25495
133,Alberta,121 Specialized administrative occupations,Men+,7080
134,Alberta,121 Specialized administrative occupations,Women+,18415
135,Alberta,1210 Administrative and regulatory occupations,Total - Gender,22345
136,Alberta,1210 Administrative and regulatory occupations,Men+,6585
137,Alberta,1210 Administrative and regulatory occupations,Women+,15760
138,Alberta,12100 Executive assistants,Total - Gender,5055
139,Alberta,12100 Executive assistants,Men+,340
140,Alberta,12100 Executive assistants,Women+,4715
141,Alberta,12101 Human resources and recruitment officers,Total - Gender,3585
142,Alberta,12101 Human resources and recruitment officers,Men+,985
143,Alberta,12101 Human resources and recruitment officers,Women+,2600
144,Alberta,12102 Procurement and purchasing agents and officers,Total - Gender,8575
145,Alberta,12102 Procurement and purchasing agents and officers,Men+,3730
146,Alberta,12102 Procurement and purchasing agents and officers,Women+,4845
147,Alberta,12103 Conference and event planners,Total - Gender,2395
148,Alberta,12103 Conference and event planners,Men+,570
149,Alberta,12103 Conference and event planners,Women+,1825
150,Alberta,12104 Employment insurance and revenue officers,Total - Gender,2730
151,Alberta,12104 Employment insurance and revenue officers,Men+,960
152,Alberta,12104 Employment insurance and revenue officers,Women+,1770
153,Alberta,"1211 Court reporters, transcriptionists, records management technicians and statistical officers",Total - Gender,3150
154,Alberta,"1211 Court reporters, transcriptionists, records management technicians and statistical officers",Men+,490
155,Alberta,"1211 Court reporters, transcriptionists, records management technicians and statistical officers",Women+,2655
156,Alberta,"12110 Court reporters, medical transcriptionists and related occupations",Total - Gender,1415
157,Alberta,"12110 Court reporters, medical transcriptionists and related occupations",Men+,105
158,Alberta,"12110 Court reporters, medical transcriptionists and related occupations",Women+,1310
159,Alberta,12111 Health information management occupations,Total - Gender,575
160,Alberta,12111 Health information management occupations,Men+,40
161,Alberta,12111 Health information management occupations,Women+,535
162,Alberta,12112 Records management technicians,Total - Gender,590
163,Alberta,12112 Records management technicians,Men+,140
164,Alberta,12112 Records management technicians,Women+,450
165,Alberta,12113 Statistical officers and related research support occupations,Total - Gender,565
166,Alberta,12113 Statistical officers and related research support occupations,Men+,205
167,Alberta,12113 Statistical officers and related research support occupations,Women+,365
