,GEO,Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A),Gender (3),VALUE
814,Alberta,40010 Government managers - health and social policy development and program administration,Women+,590
815,Alberta,"40011 Government managers - economic analysis, policy development and program administration",Total - Gender,995
816,Alberta,"40011 Government managers - economic analysis, policy development and program administration",Men+,580
817,Alberta,"40011 Government managers - economic analysis, policy development and program administration",Women+,415
818,Alberta,40012 Government managers - education policy development and program administration,Total - Gender,190
819,Alberta,40012 Government managers - education policy development and program administration,Men+,65
820,Alberta,40012 Government managers - education policy development and program administration,Women+,130
821,Alberta,40019 Other managers in public administration,Total - Gender,585
822,Alberta,40019 Other managers in public administration,Men+,335
823,Alberta,40019 Other managers in public administration,Women+,250
824,Alberta,4002 Managers in education,Total - Gender,6900
825,Alberta,4002 Managers in education,Men+,2710
826,Alberta,4002 Managers in education,Women+,4190
827,Alberta,40020 Administrators - post-secondary education and vocational training,Total - Gender,2290
828,Alberta,40020 Administrators - post-secondary education and vocational training,Men+,735
829,Alberta,40020 Administrators - post-secondary education and vocational training,Women+,1550
830,Alberta,40021 School principals and administrators of elementary and secondary education,Total - Gender,4610
831,Alberta,40021 School principals and administrators of elementary and secondary education,Men+,1970
832,Alberta,40021 School principals and administrators of elementary and secondary education,Women+,2640
833,Alberta,"4003 Managers in social, community and correctional services",Total - Gender,4305
834,Alberta,"4003 Managers in social, community and correctional services",Men+,845
835,Alberta,"4003 Managers in social, community and correctional services",Women+,3460
836,Alberta,"40030 Managers in social, community and correctional services",Total - Gender,4305
837,Alberta,"40030 Managers in social, community and correctional services",Men+,845
838,Alberta,"40030 Managers in social, community and correctional services",Women+,3460
839,Alberta,4004 Managers in public protection services,Total - Gender,1900
840,Alberta,4004 Managers in public protection services,Men+,1460
841,Alberta,4004 Managers in public protection services,Women+,435
842,Alberta,40040 Commissioned police officers and related occupations in public protection services,Total - Gender,120
843,Alberta,40040 Commissioned police officers and related occupations in public protection services,Men+,60
844,Alberta,40040 Commissioned police officers and related occupations in public protection services,Women+,55
845,Alberta,40041 Fire chiefs and senior firefighting officers,Total - Gender,330
846,Alberta,40041 Fire chiefs and senior firefighting officers,Men+,305
847,Alberta,40041 Fire chiefs and senior firefighting officers,Women+,20
848,Alberta,40042 Commissioned officers of the Canadian Armed Forces,Total - Gender,1455
849,Alberta,40042 Commissioned officers of the Canadian Armed Forces,Men+,1095
850,Alberta,40042 Commissioned officers of the Canadian Armed Forces,Women+,355
851,Alberta,"41 Professional occupations in law, education, social, community and government services",Total - Gender,136525
852,Alberta,"41 Professional occupations in law, education, social, community and government services",Men+,49600
853,Alberta,"41 Professional occupations in law, education, social, community and government services",Women+,86925
854,Alberta,411 Professional occupations in law,Total - Gender,11280
855,Alberta,411 Professional occupations in law,Men+,6590
856,Alberta,411 Professional occupations in law,Women+,4695
857,Alberta,"4110 Judges, lawyers and Quebec notaries",Total - Gender,11280
858,Alberta,"4110 Judges, lawyers and Quebec notaries",Men+,6590
859,Alberta,"4110 Judges, lawyers and Quebec notaries",Women+,4695
860,Alberta,41100 Judges,Total - Gender,310
861,Alberta,41100 Judges,Men+,185
862,Alberta,41100 Judges,Women+,125
863,Alberta,41101 Lawyers and Quebec notaries,Total - Gender,10975
864,Alberta,41101 Lawyers and Quebec notaries,Men+,6405
865,Alberta,41101 Lawyers and Quebec notaries,Women+,4570
866,Alberta,412 Professional occupations in education services,Total - Gender,79960
867,Alberta,412 Professional occupations in education services,Men+,25915
868,Alberta,412 Professional occupations in education services,Women+,54045
869,Alberta,4120 University professors and post-secondary assistants,Total - Gender,20405
870,Alberta,4120 University professors and post-secondary assistants,Men+,9630
871,Alberta,4120 University professors and post-secondary assistants,Women+,10775
872,Alberta,41200 University professors and lecturers,Total - Gender,8225
873,Alberta,41200 University professors and lecturers,Men+,4335
874,Alberta,41200 University professors and lecturers,Women+,3890
875,Alberta,41201 Post-secondary teaching and research assistants,Total - Gender,12175
876,Alberta,41201 Post-secondary teaching and research assistants,Men+,5290
877,Alberta,41201 Post-secondary teaching and research assistants,Women+,6890
878,Alberta,4121 College and other vocational instructors,Total - Gender,9220
879,Alberta,4121 College and other vocational instructors,Men+,4360
880,Alberta,4121 College and other vocational instructors,Women+,4860
881,Alberta,41210 College and other vocational instructors,Total - Gender,9220
882,Alberta,41210 College and other vocational instructors,Men+,4360
883,Alberta,41210 College and other vocational instructors,Women+,4860
884,Alberta,"4122 Secondary, elementary and kindergarten school teachers",Total - Gender,50335
885,Alberta,"4122 Secondary, elementary and kindergarten school teachers",Men+,11925
886,Alberta,"4122 Secondary, elementary and kindergarten school teachers",Women+,38405
887,Alberta,41220 Secondary school teachers,Total - Gender,14525
888,Alberta,41220 Secondary school teachers,Men+,6205
889,Alberta,41220 Secondary school teachers,Women+,8325
890,Alberta,41221 Elementary school and kindergarten teachers,Total - Gender,35815
891,Alberta,41221 Elementary school and kindergarten teachers,Men+,5730
892,Alberta,41221 Elementary school and kindergarten teachers,Women+,30085
893,Alberta,413 Professional occupations in social and community services,Total - Gender,20100
894,Alberta,413 Professional occupations in social and community services,Men+,6415
895,Alberta,413 Professional occupations in social and community services,Women+,13685
896,Alberta,4130 Social and community service professionals,Total - Gender,15130
897,Alberta,4130 Social and community service professionals,Men+,5100
898,Alberta,4130 Social and community service professionals,Women+,10030
899,Alberta,41300 Social workers,Total - Gender,7445
900,Alberta,41300 Social workers,Men+,1205
901,Alberta,41300 Social workers,Women+,6235
902,Alberta,41301 Therapists in counselling and related specialized therapies,Total - Gender,3470
903,Alberta,41301 Therapists in counselling and related specialized therapies,Men+,650
904,Alberta,41301 Therapists in counselling and related specialized therapies,Women+,2810
905,Alberta,41302 Religious leaders,Total - Gender,4220
906,Alberta,41302 Religious leaders,Men+,3235
907,Alberta,41302 Religious leaders,Women+,980
908,Alberta,4131 Police investigators and probation officers,Total - Gender,1050
909,Alberta,4131 Police investigators and probation officers,Men+,500
910,Alberta,4131 Police investigators and probation officers,Women+,550
911,Alberta,41310 Police investigators and other investigative occupations,Total - Gender,395
912,Alberta,41310 Police investigators and other investigative occupations,Men+,310
913,Alberta,41310 Police investigators and other investigative occupations,Women+,80
914,Alberta,41311 Probation and parole officers,Total - Gender,655
915,Alberta,41311 Probation and parole officers,Men+,185
916,Alberta,41311 Probation and parole officers,Women+,470
917,Alberta,4132 Educational and employment counsellors,Total - Gender,3925
918,Alberta,4132 Educational and employment counsellors,Men+,820
919,Alberta,4132 Educational and employment counsellors,Women+,3105
920,Alberta,41320 Educational counsellors,Total - Gender,2770
921,Alberta,41320 Educational counsellors,Men+,510
922,Alberta,41320 Educational counsellors,Women+,2260
923,Alberta,41321 Career development practitioners and career counsellors (except education),Total - Gender,1160
924,Alberta,41321 Career development practitioners and career counsellors (except education),Men+,310
925,Alberta,41321 Career development practitioners and career counsellors (except education),Women+,845
926,Alberta,414 Professional occupations in government services,Total - Gender,25180
927,Alberta,414 Professional occupations in government services,Men+,10680
928,Alberta,414 Professional occupations in government services,Women+,14500
929,Alberta,"4140 Policy and program researchers, consultants and officers",Total - Gender,25180
930,Alberta,"4140 Policy and program researchers, consultants and officers",Men+,10680
931,Alberta,"4140 Policy and program researchers, consultants and officers",Women+,14500
932,Alberta,"41400 Natural and applied science policy researchers, consultants and program officers",Total - Gender,5310
933,Alberta,"41400 Natural and applied science policy researchers, consultants and program officers",Men+,2870
934,Alberta,"41400 Natural and applied science policy researchers, consultants and program officers",Women+,2445
935,Alberta,41401 Economists and economic policy researchers and analysts,Total - Gender,2075
936,Alberta,41401 Economists and economic policy researchers and analysts,Men+,1200
937,Alberta,41401 Economists and economic policy researchers and analysts,Women+,875
938,Alberta,41402 Business development officers and market researchers and analysts,Total - Gender,5545
939,Alberta,41402 Business development officers and market researchers and analysts,Men+,3380
940,Alberta,41402 Business development officers and market researchers and analysts,Women+,2160
941,Alberta,"41403 Social policy researchers, consultants and program officers",Total - Gender,3560
942,Alberta,"41403 Social policy researchers, consultants and program officers",Men+,1120
943,Alberta,"41403 Social policy researchers, consultants and program officers",Women+,2440
944,Alberta,"41404 Health policy researchers, consultants and program officers",Total - Gender,3170
945,Alberta,"41404 Health policy researchers, consultants and program officers",Men+,630
946,Alberta,"41404 Health policy researchers, consultants and program officers",Women+,2540
947,Alberta,"41405 Education policy researchers, consultants and program officers",Total - Gender,2850
948,Alberta,"41405 Education policy researchers, consultants and program officers",Men+,580
949,Alberta,"41405 Education policy researchers, consultants and program officers",Women+,2270
950,Alberta,"41406 Recreation, sports and fitness policy researchers, consultants and program officers",Total - Gender,1130
951,Alberta,"41406 Recreation, sports and fitness policy researchers, consultants and program officers",Men+,335
952,Alberta,"41406 Recreation, sports and fitness policy researchers, consultants and program officers",Women+,795
953,Alberta,41407 Program officers unique to government,Total - Gender,930
954,Alberta,41407 Program officers unique to government,Men+,340
955,Alberta,41407 Program officers unique to government,Women+,585
956,Alberta,41409 Other professional occupations in social science,Total - Gender,605
957,Alberta,41409 Other professional occupations in social science,Men+,225
958,Alberta,41409 Other professional occupations in social science,Women+,385
959,Alberta,"42 Front-line public protection services and paraprofessional occupations in legal, social, community, education services",Total - Gender,62800
960,Alberta,"42 Front-line public protection services and paraprofessional occupations in legal, social, community, education services",Men+,19340
961,Alberta,"42 Front-line public protection services and paraprofessional occupations in legal, social, community, education services",Women+,43470
962,Alberta,421 Occupations in front-line public protection services,Total - Gender,15005
963,Alberta,421 Occupations in front-line public protection services,Men+,12565
964,Alberta,421 Occupations in front-line public protection services,Women+,2435
965,Alberta,4210 Occupations in front-line public protection services,Total - Gender,15005
966,Alberta,4210 Occupations in front-line public protection services,Men+,12565
967,Alberta,4210 Occupations in front-line public protection services,Women+,2435
968,Alberta,42100 Police officers (except commissioned),Total - Gender,9790
969,Alberta,42100 Police officers (except commissioned),Men+,7685
970,Alberta,42100 Police officers (except commissioned),Women+,2110
971,Alberta,42101 Firefighters,Total - Gender,5050
972,Alberta,42101 Firefighters,Men+,4755
973,Alberta,42101 Firefighters,Women+,295
974,Alberta,42102 Specialized members of the Canadian Armed Forces,Total - Gender,165
975,Alberta,42102 Specialized members of the Canadian Armed Forces,Men+,130
976,Alberta,42102 Specialized members of the Canadian Armed Forces,Women+,30
977,Alberta,"422 Paraprofessional occupations in legal, social, community and education services",Total - Gender,47800
978,Alberta,"422 Paraprofessional occupations in legal, social, community and education services",Men+,6770
979,Alberta,"422 Paraprofessional occupations in legal, social, community and education services",Women+,41030
980,Alberta,"4220 Paraprofessional occupations in legal, social, community and education services",Total - Gender,47800
981,Alberta,"4220 Paraprofessional occupations in legal, social, community and education services",Men+,6770
982,Alberta,"4220 Paraprofessional occupations in legal, social, community and education services",Women+,41030
983,Alberta,42200 Paralegals and related occupations,Total - Gender,2950
984,Alberta,42200 Paralegals and related occupations,Men+,265
985,Alberta,42200 Paralegals and related occupations,Women+,2690
986,Alberta,42201 Social and community service workers,Total - Gender,23410
987,Alberta,42201 Social and community service workers,Men+,5470
988,Alberta,42201 Social and community service workers,Women+,17940
989,Alberta,42202 Early childhood educators and assistants,Total - Gender,19720
990,Alberta,42202 Early childhood educators and assistants,Men+,600
991,Alberta,42202 Early childhood educators and assistants,Women+,19120
992,Alberta,42203 Instructors of persons with disabilities,Total - Gender,695
993,Alberta,42203 Instructors of persons with disabilities,Men+,85
994,Alberta,42203 Instructors of persons with disabilities,Women+,610
995,Alberta,42204 Religion workers,Total - Gender,1025
996,Alberta,42204 Religion workers,Men+,350
997,Alberta,42204 Religion workers,Women+,675
998,Alberta,43 Assisting occupations in education and in legal and public protection,Total - Gender,31525
999,Alberta,43 Assisting occupations in education and in legal and public protection,Men+,10450
1000,Alberta,43 Assisting occupations in education and in legal and public protection,Women+,21075
1001,Alberta,431 Assisting occupations in educational,Total - Gender,21955
1002,Alberta,431 Assisting occupations in educational,Men+,3065
1003,Alberta,431 Assisting occupations in educational,Women+,18885
1004,Alberta,4310 Assisting occupations in education,Total - Gender,21955
1005,Alberta,4310 Assisting occupations in education,Men+,3065
1006,Alberta,4310 Assisting occupations in education,Women+,18885
1007,Alberta,43100 Elementary and secondary school teacher assistants,Total - Gender,17310
1008,Alberta,43100 Elementary and secondary school teacher assistants,Men+,1040
1009,Alberta,43100 Elementary and secondary school teacher assistants,Women+,16270
1010,Alberta,43109 Other instructors,Total - Gender,4645
1011,Alberta,43109 Other instructors,Men+,2030
1012,Alberta,43109 Other instructors,Women+,2615
1013,Alberta,432 Assisting occupations in legal and public protection,Total - Gender,9575
1014,Alberta,432 Assisting occupations in legal and public protection,Men+,7380
1015,Alberta,432 Assisting occupations in legal and public protection,Women+,2195
1016,Alberta,4320 Assisting occupations in legal and public protection,Total - Gender,9575
1017,Alberta,4320 Assisting occupations in legal and public protection,Men+,7380
1018,Alberta,4320 Assisting occupations in legal and public protection,Women+,2195
1019,Alberta,43200 Sheriffs and bailiffs,Total - Gender,645
1020,Alberta,43200 Sheriffs and bailiffs,Men+,555
1021,Alberta,43200 Sheriffs and bailiffs,Women+,85
1022,Alberta,43201 Correctional service officers,Total - Gender,2785
1023,Alberta,43201 Correctional service officers,Men+,1995
1024,Alberta,43201 Correctional service officers,Women+,790
1025,Alberta,43202 By-law enforcement and other regulatory officers,Total - Gender,900
1026,Alberta,43202 By-law enforcement and other regulatory officers,Men+,525
1027,Alberta,43202 By-law enforcement and other regulatory officers,Women+,375
1028,Alberta,"43203 Border services, customs, and immigration officers",Total - Gender,615
1029,Alberta,"43203 Border services, customs, and immigration officers",Men+,260
1030,Alberta,"43203 Border services, customs, and immigration officers",Women+,350
1031,Alberta,43204 Operations members of the Canadian Armed Forces,Total - Gender,4640
1032,Alberta,43204 Operations members of the Canadian Armed Forces,Men+,4045
1033,Alberta,43204 Operations members of the Canadian Armed Forces,Women+,590
1034,Alberta,44 Care providers and legal and public protection support occupations,Total - Gender,18790
1035,Alberta,44 Care providers and legal and public protection support occupations,Men+,2240
1036,Alberta,44 Care providers and legal and public protection support occupations,Women+,16555
1037,Alberta,441 Home care provider occupations,Total - Gender,17685
1038,Alberta,441 Home care provider occupations,Men+,1245
1039,Alberta,441 Home care provider occupations,Women+,16440
1040,Alberta,4410 Home care provider occupations,Total - Gender,17685
1041,Alberta,4410 Home care provider occupations,Men+,1245
1042,Alberta,4410 Home care provider occupations,Women+,16440
1043,Alberta,44100 Home child care providers,Total - Gender,12775
1044,Alberta,44100 Home child care providers,Men+,625
1045,Alberta,44100 Home child care providers,Women+,12150
1046,Alberta,"44101 Home support workers, caregivers and related occupations",Total - Gender,4910
1047,Alberta,"44101 Home support workers, caregivers and related occupations",Men+,615
1048,Alberta,"44101 Home support workers, caregivers and related occupations",Women+,4295
1049,Alberta,442 Primary combat members of the Canadian Armed Forces,Total - Gender,1105
1050,Alberta,442 Primary combat members of the Canadian Armed Forces,Men+,995
1051,Alberta,442 Primary combat members of the Canadian Armed Forces,Women+,110
1052,Alberta,4420 Primary combat members of the Canadian Armed Forces,Total - Gender,1105
1053,Alberta,4420 Primary combat members of the Canadian Armed Forces,Men+,995
1054,Alberta,4420 Primary combat members of the Canadian Armed Forces,Women+,110
1055,Alberta,44200 Primary combat members of the Canadian Armed Forces,Total - Gender,1105
1056,Alberta,44200 Primary combat members of the Canadian Armed Forces,Men+,995
1057,Alberta,44200 Primary combat members of the Canadian Armed Forces,Women+,110
1058,Alberta,"45 Student monitors, crossing guards and related occupations",Total - Gender,2420
1059,Alberta,"45 Student monitors, crossing guards and related occupations",Men+,135
1060,Alberta,"45 Student monitors, crossing guards and related occupations",Women+,2285
1061,Alberta,"451 Student monitors, crossing guards and related occupations",Total - Gender,2420
1062,Alberta,"451 Student monitors, crossing guards and related occupations",Men+,135
1063,Alberta,"451 Student monitors, crossing guards and related occupations",Women+,2285
1064,Alberta,"4510 Student monitors, crossing guards and related occupations",Total - Gender,2420
1065,Alberta,"4510 Student monitors, crossing guards and related occupations",Men+,135
1066,Alberta,"4510 Student monitors, crossing guards and related occupations",Women+,2285
1067,Alberta,"45100 Student monitors, crossing guards and related occupations",Total - Gender,2420
1068,Alberta,"45100 Student monitors, crossing guards and related occupations",Men+,135
1069,Alberta,"45100 Student monitors, crossing guards and related occupations",Women+,2285
1070,Alberta,"5 Occupations in art, culture, recreation and sport",Total - Gender,59950
1071,Alberta,"5 Occupations in art, culture, recreation and sport",Men+,24240
1072,Alberta,"5 Occupations in art, culture, recreation and sport",Women+,35710
1073,Alberta,"50 Specialized middle management occupations in art, culture, recreation and sport",Total - Gender,3195
1074,Alberta,"50 Specialized middle management occupations in art, culture, recreation and sport",Men+,1555
1075,Alberta,"50 Specialized middle management occupations in art, culture, recreation and sport",Women+,1640
1076,Alberta,"500 Specialized middle management occupations in art, culture, recreation and sport",Total - Gender,3195
1077,Alberta,"500 Specialized middle management occupations in art, culture, recreation and sport",Men+,1555
1078,Alberta,"500 Specialized middle management occupations in art, culture, recreation and sport",Women+,1640
1079,Alberta,"5001 Managers in art, culture, recreation and sport",Total - Gender,3195
1080,Alberta,"5001 Managers in art, culture, recreation and sport",Men+,1555
1081,Alberta,"5001 Managers in art, culture, recreation and sport",Women+,1640
1082,Alberta,"50010 Library, archive, museum and art gallery managers",Total - Gender,630
1083,Alberta,"50010 Library, archive, museum and art gallery managers",Men+,135
1084,Alberta,"50010 Library, archive, museum and art gallery managers",Women+,495
1085,Alberta,"50011 Managers - publishing, motion pictures, broadcasting and performing arts",Total - Gender,695
1086,Alberta,"50011 Managers - publishing, motion pictures, broadcasting and performing arts",Men+,380
1087,Alberta,"50011 Managers - publishing, motion pictures, broadcasting and performing arts",Women+,315
1088,Alberta,"50012 Recreation, sports and fitness program and service directors",Total - Gender,1870
1089,Alberta,"50012 Recreation, sports and fitness program and service directors",Men+,1035
1090,Alberta,"50012 Recreation, sports and fitness program and service directors",Women+,835
1091,Alberta,51 Professional occupations in art and culture,Total - Gender,12700
1092,Alberta,51 Professional occupations in art and culture,Men+,5075
1093,Alberta,51 Professional occupations in art and culture,Women+,7625
1094,Alberta,511 Professional occupations in art and culture,Total - Gender,12700
1095,Alberta,511 Professional occupations in art and culture,Men+,5075
1096,Alberta,511 Professional occupations in art and culture,Women+,7625
1097,Alberta,"5110 Librarians, archivists, conservators and curators",Total - Gender,1280
1098,Alberta,"5110 Librarians, archivists, conservators and curators",Men+,245
1099,Alberta,"5110 Librarians, archivists, conservators and curators",Women+,1035
1100,Alberta,51100 Librarians,Total - Gender,970
1101,Alberta,51100 Librarians,Men+,150
1102,Alberta,51100 Librarians,Women+,820
1103,Alberta,51101 Conservators and curators,Total - Gender,205
1104,Alberta,51101 Conservators and curators,Men+,65
1105,Alberta,51101 Conservators and curators,Women+,140
1106,Alberta,51102 Archivists,Total - Gender,100
1107,Alberta,51102 Archivists,Men+,30
1108,Alberta,51102 Archivists,Women+,75
1109,Alberta,"5111 Writing, translating and related communications professionals",Total - Gender,5510
1110,Alberta,"5111 Writing, translating and related communications professionals",Men+,1955
1111,Alberta,"5111 Writing, translating and related communications professionals",Women+,3555
1112,Alberta,51110 Editors,Total - Gender,990
1113,Alberta,51110 Editors,Men+,260
1114,Alberta,51110 Editors,Women+,730
1115,Alberta,51111 Authors and writers (except technical),Total - Gender,2060
1116,Alberta,51111 Authors and writers (except technical),Men+,830
1117,Alberta,51111 Authors and writers (except technical),Women+,1235
1118,Alberta,51112 Technical writers,Total - Gender,895
1119,Alberta,51112 Technical writers,Men+,280
1120,Alberta,51112 Technical writers,Women+,620
1121,Alberta,51113 Journalists,Total - Gender,790
1122,Alberta,51113 Journalists,Men+,360
1123,Alberta,51113 Journalists,Women+,430
1124,Alberta,"51114 Translators, terminologists and interpreters",Total - Gender,780
1125,Alberta,"51114 Translators, terminologists and interpreters",Men+,225
1126,Alberta,"51114 Translators, terminologists and interpreters",Women+,555
1127,Alberta,5112 Creative and performing artists,Total - Gender,5910
1128,Alberta,5112 Creative and performing artists,Men+,2880
1129,Alberta,5112 Creative and performing artists,Women+,3030
1130,Alberta,"51120 Producers, directors, choreographers and related occupations",Total - Gender,1825
1131,Alberta,"51120 Producers, directors, choreographers and related occupations",Men+,1215
1132,Alberta,"51120 Producers, directors, choreographers and related occupations",Women+,605
1133,Alberta,"51121 Conductors, composers and arrangers",Total - Gender,240
1134,Alberta,"51121 Conductors, composers and arrangers",Men+,150
1135,Alberta,"51121 Conductors, composers and arrangers",Women+,90
1136,Alberta,51122 Musicians and singers,Total - Gender,3845
1137,Alberta,51122 Musicians and singers,Men+,1510
1138,Alberta,51122 Musicians and singers,Women+,2335
1139,Alberta,"52 Technical occupations in art, culture and sport",Total - Gender,15700
1140,Alberta,"52 Technical occupations in art, culture and sport",Men+,6355
1141,Alberta,"52 Technical occupations in art, culture and sport",Women+,9345
1142,Alberta,521 Technical occupations in art and culture,Total - Gender,15700
1143,Alberta,521 Technical occupations in art and culture,Men+,6355
1144,Alberta,521 Technical occupations in art and culture,Women+,9345
1145,Alberta,5210 Technical occupations in libraries and public archives,Total - Gender,1325
1146,Alberta,5210 Technical occupations in libraries and public archives,Men+,125
1147,Alberta,5210 Technical occupations in libraries and public archives,Women+,1200
1148,Alberta,52100 Library and public archive technicians,Total - Gender,1325
1149,Alberta,52100 Library and public archive technicians,Men+,125
1150,Alberta,52100 Library and public archive technicians,Women+,1200
1151,Alberta,"5211 Technical occupations in motion pictures, broadcasting and the performing arts",Total - Gender,4770
1152,Alberta,"5211 Technical occupations in motion pictures, broadcasting and the performing arts",Men+,3010
1153,Alberta,"5211 Technical occupations in motion pictures, broadcasting and the performing arts",Women+,1755
1154,Alberta,52110 Film and video camera operators,Total - Gender,530
1155,Alberta,52110 Film and video camera operators,Men+,470
1156,Alberta,52110 Film and video camera operators,Women+,60
1157,Alberta,52111 Graphic arts technicians,Total - Gender,345
1158,Alberta,52111 Graphic arts technicians,Men+,235
1159,Alberta,52111 Graphic arts technicians,Women+,110
1160,Alberta,52112 Broadcast technicians,Total - Gender,235
1161,Alberta,52112 Broadcast technicians,Men+,195
1162,Alberta,52112 Broadcast technicians,Women+,45
1163,Alberta,52113 Audio and video recording technicians,Total - Gender,1235
1164,Alberta,52113 Audio and video recording technicians,Men+,1030
1165,Alberta,52113 Audio and video recording technicians,Women+,205
1166,Alberta,52114 Announcers and other broadcasters,Total - Gender,565
1167,Alberta,52114 Announcers and other broadcasters,Men+,385
1168,Alberta,52114 Announcers and other broadcasters,Women+,175
1169,Alberta,"52119 Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts",Total - Gender,1865
1170,Alberta,"52119 Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts",Men+,705
1171,Alberta,"52119 Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts",Women+,1155
1172,Alberta,5212 Graphic and interior designers,Total - Gender,9605
1173,Alberta,5212 Graphic and interior designers,Men+,3215
1174,Alberta,5212 Graphic and interior designers,Women+,6395
1175,Alberta,52120 Graphic designers and illustrators,Total - Gender,6575
1176,Alberta,52120 Graphic designers and illustrators,Men+,2845
1177,Alberta,52120 Graphic designers and illustrators,Women+,3730
1178,Alberta,52121 Interior designers and interior decorators,Total - Gender,3035
1179,Alberta,52121 Interior designers and interior decorators,Men+,375
1180,Alberta,52121 Interior designers and interior decorators,Women+,2665
1181,Alberta,"53 Occupations in art, culture and sport",Total - Gender,14910
1182,Alberta,"53 Occupations in art, culture and sport",Men+,5900
1183,Alberta,"53 Occupations in art, culture and sport",Women+,9010
1184,Alberta,531 Occupations in art and culture,Total - Gender,11640
1185,Alberta,531 Occupations in art and culture,Men+,3860
1186,Alberta,531 Occupations in art and culture,Women+,7780
1187,Alberta,5310 Occupations related to museums and art galleries,Total - Gender,800
1188,Alberta,5310 Occupations related to museums and art galleries,Men+,365
1189,Alberta,5310 Occupations related to museums and art galleries,Women+,435
1190,Alberta,"53100 Registrars, restorers, interpreters and other occupations related to museum and art galleries",Total - Gender,800
1191,Alberta,"53100 Registrars, restorers, interpreters and other occupations related to museum and art galleries",Men+,365
1192,Alberta,"53100 Registrars, restorers, interpreters and other occupations related to museum and art galleries",Women+,435
1193,Alberta,5311 Photographers and support occupations in arts and culture,Total - Gender,3225
1194,Alberta,5311 Photographers and support occupations in arts and culture,Men+,1285
1195,Alberta,5311 Photographers and support occupations in arts and culture,Women+,1945
1196,Alberta,53110 Photographers,Total - Gender,2635
1197,Alberta,53110 Photographers,Men+,905
1198,Alberta,53110 Photographers,Women+,1730
1199,Alberta,"53111 Motion pictures, broadcasting, photography and performing arts assistants and operators",Total - Gender,590
1200,Alberta,"53111 Motion pictures, broadcasting, photography and performing arts assistants and operators",Men+,380
1201,Alberta,"53111 Motion pictures, broadcasting, photography and performing arts assistants and operators",Women+,210
1202,Alberta,5312 Occupations in creative and performing art,Total - Gender,7615
1203,Alberta,5312 Occupations in creative and performing art,Men+,2215
1204,Alberta,5312 Occupations in creative and performing art,Women+,5400
1205,Alberta,53120 Dancers,Total - Gender,1420
1206,Alberta,53120 Dancers,Men+,150
1207,Alberta,53120 Dancers,Women+,1275
1208,Alberta,"53121 Actors, comedians and circus performers",Total - Gender,1070
1209,Alberta,"53121 Actors, comedians and circus performers",Men+,565
1210,Alberta,"53121 Actors, comedians and circus performers",Women+,500
1211,Alberta,"53122 Painters, sculptors and other visual artists",Total - Gender,2100
1212,Alberta,"53122 Painters, sculptors and other visual artists",Men+,610
1213,Alberta,"53122 Painters, sculptors and other visual artists",Women+,1490
1214,Alberta,"53123 Theatre, fashion, exhibit and other creative designers",Total - Gender,740
1215,Alberta,"53123 Theatre, fashion, exhibit and other creative designers",Men+,185
1216,Alberta,"53123 Theatre, fashion, exhibit and other creative designers",Women+,555
1217,Alberta,53124 Artisans and craftspersons,Total - Gender,2270
1218,Alberta,53124 Artisans and craftspersons,Men+,695
1219,Alberta,53124 Artisans and craftspersons,Women+,1575
1220,Alberta,"53125 Patternmakers - textile, leather and fur products",Total - Gender,15
1221,Alberta,"53125 Patternmakers - textile, leather and fur products",Men+,10
1222,Alberta,"53125 Patternmakers - textile, leather and fur products",Women+,10
1223,Alberta,532 Occupations in sports,Total - Gender,3275
1224,Alberta,532 Occupations in sports,Men+,2040
1225,Alberta,532 Occupations in sports,Women+,1230
1226,Alberta,"5320 Athletes, coaches, referees and related occupations",Total - Gender,3275
1227,Alberta,"5320 Athletes, coaches, referees and related occupations",Men+,2040
1228,Alberta,"5320 Athletes, coaches, referees and related occupations",Women+,1230
1229,Alberta,53200 Athletes,Total - Gender,600
1230,Alberta,53200 Athletes,Men+,495
1231,Alberta,53200 Athletes,Women+,105
1232,Alberta,53201 Coaches,Total - Gender,2095
1233,Alberta,53201 Coaches,Men+,1080
1234,Alberta,53201 Coaches,Women+,1020
1235,Alberta,53202 Sports officials and referees,Total - Gender,575
1236,Alberta,53202 Sports officials and referees,Men+,465
1237,Alberta,53202 Sports officials and referees,Women+,110
1238,Alberta,54 Support occupations in sport,Total - Gender,12770
1239,Alberta,54 Support occupations in sport,Men+,5090
1240,Alberta,54 Support occupations in sport,Women+,7675
1241,Alberta,541 Support occupations in sport,Total - Gender,12770
1242,Alberta,541 Support occupations in sport,Men+,5090
1243,Alberta,541 Support occupations in sport,Women+,7675
1244,Alberta,"5410 Program leaders and instructors in recreation, sport and fitness",Total - Gender,12770
1245,Alberta,"5410 Program leaders and instructors in recreation, sport and fitness",Men+,5090
1246,Alberta,"5410 Program leaders and instructors in recreation, sport and fitness",Women+,7675
1247,Alberta,"54100 Program leaders and instructors in recreation, sport and fitness",Total - Gender,12770
1248,Alberta,"54100 Program leaders and instructors in recreation, sport and fitness",Men+,5090
1249,Alberta,"54100 Program leaders and instructors in recreation, sport and fitness",Women+,7675
1250,Alberta,55 Support occupations in art and culture,Total - Gender,670
1251,Alberta,55 Support occupations in art and culture,Men+,260
